Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Status
burst-i-deceleration,Burst I — Deceleration Open Ground,"<p>A persistence-of-vision LED array decelerating through the end of a revolution. The pixelated rain on the left is the rig writing one column of image data per millisecond as it slowed — time made visible as a spatial gradient. The camera didn't catch the gesture; it caught the braking.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-25, method-led-pov, burst, kata-interrupted",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-06-A3-PR,,,continue,manual,180.00,TRUE,TRUE,,active
burst-i-deceleration,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-06-A2-PR,,,continue,manual,320.00,TRUE,TRUE,,
burst-i-deceleration,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-06-A2-BA,,,continue,manual,360.00,TRUE,TRUE,,
instrument-i-the-rig-visible,Instrument I — The Rig Visible,"<p>A 360° capture of a single long revolution of the studio's persistence-of-vision LED rig, taken from ground level looking up. The pink band is the rig's own arc-trace through the sky; the orange is where the LEDs warmed on the way back down. The small object in the foreground is the rig's controller unit, deliberately left in frame. The one photograph in the series that documents the apparatus as well as its output.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-20, method-led-pov, instrument, panoramic, 360",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-07-A3-PR,,,continue,manual,220.00,TRUE,TRUE,,active
instrument-i-the-rig-visible,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-07-A2-PR,,,continue,manual,380.00,TRUE,TRUE,,
instrument-i-the-rig-visible,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-07-A2-BA,,,continue,manual,420.00,TRUE,TRUE,,
crossing-i-two-hands,Crossing I — Two Hands One Exposure,"<p>Two techniques, one exposure. The red and cyan burst on the left is a persistence-of-vision LED array caught mid-revolution. The bright white arc on the right is a traditional hand-held wand passing through the frame at the same moment. They look unrelated. They were executed within arm's reach of each other, in the same dark, in the same breath. Two lineages of light painting holding hands across one photograph.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-20, method-led-pov, method-traditional, crossing, duet",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-08-A3-PR,,,continue,manual,200.00,TRUE,TRUE,,active
crossing-i-two-hands,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-08-A2-PR,,,continue,manual,350.00,TRUE,TRUE,,
crossing-i-two-hands,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-08-A2-BA,,,continue,manual,390.00,TRUE,TRUE,,
firebird-foreshore-low-tide,Firebird — Foreshore at Low Tide,"<p>Traditional light painting, performed against a low-tide beach at early dusk. Two hand-held LED wands running staggered colour programs — red on one, green on the other — in a sustained figure-eight kata. The bird shape is not a design. It is what the figure-eight draws when the sand is flat enough to be an accomplice and the weather is willing to hold. The head faced the sun.</p>",Holo-Flow Studio,Photograph,"photo-print, edition-15, method-traditional, coastal, figure-eight, firebird",TRUE,Paper and size,A3 · Hahnemühle Photo Rag 308,HF-09-A3-PR,,,continue,manual,240.00,TRUE,TRUE,,active
firebird-foreshore-low-tide,,,,,,,Paper and size,A2 · Hahnemühle Photo Rag 308,HF-09-A2-PR,,,continue,manual,400.00,TRUE,TRUE,,
firebird-foreshore-low-tide,,,,,,,Paper and size,A2 · Canson Baryta Prestige II 340,HF-09-A2-BA,,,continue,manual,440.00,TRUE,TRUE,,
